Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,Team_number,screenshot_kill,screenshot_death,screenshot_result,Total_damage_deal,Gun_damage_deal,Rocket_damage_deal,Total_damage_taken,Gun_damage_taken,Rocket_damage_taken,Total_engage,Gun_engage,Rocket_engage,Total_shot_all,Gun_shot_all,Rocket_shot_all,Total_shot_hit,Gun_shot_hit,Rocket_shot_hit,Damager_per_Second_all,Shot_per_Second_all,Damager_per_Second_Hit_only,Shot_per_Second_Hit_only,Gun_kill,Rocket_kill,Total_kill,Death_by_gun,Death_by_rocket,Total_Death,Self_kill,Game_result,Total_key_pressed,W_key,A_key,S_key,D_key,R_key,Q_key,MouseScrollDown,MouseScrollUp,SpaceBar,LeftMouseButton,RightMouseButton,Tab_key,Percent_of_Null_in_Pupil,Percent_of_Null_in_Gaze,Pupil_Average_mean,Pupil_Average_std,Pupil_Average_min,Pupil_Average_25th,Pupil_Average_50th,Pupil_Average_75th,Pupil_Average_max,Pupil_difference_mean,Pupil_difference_std,Pupil_difference_min,Pupil_difference_25th,Pupil_difference_50th,Pupil_difference_75th,Pupil_difference_max,Gaze_velocity_mean,Gaze_velocity_std,Gaze_velocity_min,Gaze_velocity_25th,Gaze_velocity_50th,Gaze_velocity_75th,Gaze_velocity_max,Heart_rate_min,Heart_rate_mean,Heart_rate_max,Heart_rate_variability,ECG_signal_to_noise,Q5_trusted_by_teamate,Q7_trusted_by_teamate,Q10_trusted_by_teamate,cluster_labels,Missing_percent,final_result,Team_type,Q2,Q3,Q4,Q3_Q4
QAXY,mammal_thylacine,block_04,2024-03-05,f74ac41e-4abb-2c24-95ba-f6bd7a3aa0c5,2024-03-05 14:42:49.125351-05:00,2024-03-05 14:53:04.736432-05:00,7.0,13.0,6.0,win,1149.990455,435.0,714.990455,605.45201,390.0,215.45201,24.0,12.0,12.0,121.0,95.0,26.0,41.0,29.0,12.0,4.451029624172733,0.1965526673162662,1.8680470356900545,0.0666004905782389,7.0,5.0,12.0,2.0,1.0,3.0,0.0,win,1008.0,146.0,193.0,77.0,248.0,64.0,20.0,1.0,0.0,115.0,64.0,20.0,56.0,0.1133986034838357,0.069403374499913,4.889496014255211,0.4233601096436712,1.6922149658203125,4.595962524414063,4.9275970458984375,5.200050354003906,6.2601318359375,0.6820674440413143,0.1093602330170759,0.0078125,0.61541748046875,0.6879730224609371,0.754425048828125,2.728851318359375,0.8847382149014814,2.294884981642494,0.0013489146404051,0.1916137452402109,0.3689860216321707,0.7390074861559253,178.16033362930563,63.29114229666516,79.52629943597917,94.93671344499774,40.38584491296768,7.871984229020708,20.0,100.0,100.0,1,0.6842105263157895,win,"(1,1)",stranger,friend,stranger,"friend
stranger"
QAZW,reptile_gila,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0331997710360618,0.0349170005724098,2.78174247380852,0.167240165810587,1.7873992919921875,2.676036834716797,2.778358459472656,2.8869590759277344,3.727447509765625,0.1508742269789687,0.0385878006534287,0.00048828125,0.128814697265625,0.1494598388671875,0.1717529296875,1.018890380859375,0.5593431063056286,0.9330991051292596,0.0020642429283255,0.2266195617240616,0.3766604493171432,0.6007911875945342,23.63925899220692,66.96427473798575,72.54144593905961,79.36509998918285,22.426841347741057,7.590533482563455,,,,3,,,,stranger,stranger,stranger,"stranger
stranger"
QAZW,reptile_gila,block_01,2024-04-16,1263e8ef-4b1f-9a88-a07b-85971cac44ab,2024-04-16 10:57:55.237102-04:00,2024-04-16 11:08:10.982526-04:00,29.0,13.0,2.0,win,988.8174546,825.0,163.8174546,285.0,285.0,0.0,25.0,20.0,5.0,207.0,197.0,10.0,59.0,55.0,4.0,5.574163268324996,0.3361778941941434,1.6058868098059955,0.095818820084321,12.0,1.0,13.0,2.0,0.0,2.0,0.0,win,1127.0,215.0,276.0,54.0,306.0,57.0,0.0,3.0,20.0,53.0,71.0,43.0,1.0,0.0676700811751063,0.0652058368766911,3.317408048234888,0.2085949146814263,1.8945159912109373,3.173309326171875,3.302398681640625,3.45501708984375,4.049102783203125,0.063436679229087,0.0559315180631861,0.0,0.022193908691406,0.049285888671875,0.0921249389648437,1.3766174316406252,0.9415665410460886,1.867277059193429,0.001335330614771,0.2695982584817671,0.4620902137933751,0.7709347132249622,34.34505600849556,73.89162231797462,84.82338487383647,95.54143435400312,20.42447418001344,7.706736962928712,16.0,82.0,83.0,3,1.0,win,"(1,3)",stranger,stranger,stranger,"stranger
stranger"
QAZW,reptile_gila,block_02,2024-04-16,6ee85647-4297-186c-24fa-c4970441459c,2024-04-16 11:12:32.018475-04:00,2024-04-16 11:22:47.387228-04:00,29.0,23.0,4.0,win,1530.794882,1245.0,285.794882,495.0,495.0,0.0,31.0,26.0,5.0,347.0,338.0,9.0,87.0,83.0,4.0,9.144796456702766,0.5638895350281135,2.4876058047100744,0.1413786442289506,20.0,3.0,23.0,4.0,0.0,4.0,0.0,win,1236.0,226.0,349.0,74.0,269.0,78.0,0.0,0.0,27.0,48.0,101.0,57.0,5.0,0.0184015144065296,0.0181679614514701,3.350573945598772,0.2230588868599075,2.0073165893554688,3.20599365234375,3.3316574096679688,3.4930419921875,4.025520324707031,0.0570921397027974,0.045988123427992,0.0,0.0242767333984375,0.0499572753906254,0.0806579589843745,1.640655517578125,0.8402678854982849,1.956666787659576,0.0,0.2419672693342002,0.4085370326632241,0.6825313227020854,158.44566767649673,71.77033787564474,83.34027683538771,94.93674925937424,19.993474019687017,7.74141662520626,18.0,88.0,87.0,3,1.0,win,"(1,3)",stranger,stranger,stranger,"stranger
stranger"
QAZW,reptile_gila,block_03,2024-04-16,b8103d26-48b2-edb7-9cf6-febff2e0b27b,2024-04-16 11:27:04.499339-04:00,2024-04-16 11:37:19.733358-04:00,29.0,20.0,3.0,win,1444.9148025,1125.0,319.9148025,586.809811,540.0,46.809811,28.0,21.0,7.0,268.0,251.0,17.0,84.0,75.0,9.0,7.146512172630689,0.4356066012663061,2.348561291926869,0.1365334123372004,16.0,4.0,20.0,3.0,0.0,3.0,0.0,win,1262.0,198.0,346.0,74.0,338.0,69.0,0.0,1.0,30.0,62.0,90.0,45.0,3.0,0.0167684811911062,0.0173373234734004,3.1755751633715845,0.2060229716208647,1.8944549560546875,3.043926239013672,3.1573524475097656,3.2933406829833984,4.148628234863281,0.058786463538956,0.0467782180342796,0.0,0.0253448486328121,0.0522537231445312,0.08453369140625,1.734466552734375,0.9157431823857122,7.036977306256257,0.0021688569842093,0.266977702155582,0.4510946019737316,0.7471555856833849,1355.8860970751496,68.80735991810647,77.24726482411404,86.20697285896672,22.245113346028948,7.54111303428401,17.0,84.0,87.0,3,1.0,win,"(1,3)",stranger,stranger,stranger,"stranger
stranger"
QAZW,reptile_gila,block_04,2024-04-16,7dcb719f-46a8-2478-bac5-4da70d64241f,2024-04-16 11:41:35.548627-04:00,2024-04-16 11:51:51.212965-04:00,29.0,20.0,4.0,win,1489.29674,1035.0,454.29674000000006,534.865155,240.0,294.865155,32.0,27.0,5.0,295.0,285.0,10.0,77.0,69.0,8.0,7.7755018537390095,0.4791571994543558,2.4190076443894983,0.1250681503660522,14.0,6.0,20.0,1.0,3.0,4.0,0.0,win,1159.0,176.0,282.0,62.0,245.0,84.0,0.0,0.0,34.0,125.0,97.0,43.0,8.0,0.0238973299896739,0.022028814476078,3.282176069842264,0.2343240215754865,1.734222412109375,3.1250247955322266,3.261554718017578,3.4260730743408203,4.116744995117188,0.0549191740410201,0.0479809086765733,0.0,0.0237579345703125,0.047821044921875,0.076141357421875,1.3108215332031246,0.9038665274422508,1.863439166919329,0.0003301802250293,0.2546132173271121,0.4257368877077915,0.7042991652127738,39.6068769948323,69.76745037081024,79.08070370478399,91.46342872864363,19.34133217729146,7.464928835124024,17.0,82.0,83.0,3,1.0,win,"(1,3)",stranger,stranger,stranger,"stranger
stranger"
QPOI,reptile_komodo,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1296689508734678,0.136859376508059,3.788371584081647,0.3341976233314511,1.4359893798828125,3.570178985595703,3.764328002929688,3.988941192626953,5.4855499267578125,0.3380023432510807,0.1165949495147522,0.0,0.2697067260742185,0.3386077880859366,0.4051742553710942,1.754241943359375,0.7742441449699297,1.5928495036026042,0.0006302857325041,0.2084855908943738,0.3768931248687553,0.7013555454989238,73.31045706192764,45.04503640178463,56.076414589642944,75.00000447034863,59.06623944612415,9.099896388563874,,,,3,,,,stranger,friend,stranger,"friend
stranger"
QPOI,reptile_komodo,block_01,2024-04-09,9e78a544-4fad-2033-7311-4f8a28b2f34f,2024-04-09 12:45:55.566185-04:00,2024-04-09 12:56:11.552493-04:00,15.0,22.0,4.0,win,1348.690997,795.0,553.690997,697.4535666,375.0,322.45356660000004,29.0,20.0,9.0,242.0,224.0,18.0,63.0,53.0,10.0,6.959842154316196,0.392865875194096,2.189482102904144,0.102275000567058,15.0,7.0,22.0,2.0,2.0,4.0,0.0,win,1275.0,254.0,279.0,63.0,304.0,65.0,36.0,0.0,0.0,124.0,91.0,44.0,0.0,0.056631455399061,0.0563869327073552,4.317184213760256,0.4278705483283693,1.6254119873046875,4.022747039794922,4.334453582763672,4.623968124389648,5.6190948486328125,0.0870526947255879,0.0760704250366742,0.0,0.0341033935546875,0.071273803710937,0.1240653991699212,1.54327392578125,0.8899321218971901,1.8447317679623776,0.0031992845464417,0.2390735193618569,0.4219465077154667,0.7525324773559547,107.5709983287972,44.24778935330892,56.70957390768326,70.09346231704994,63.34200897854522,9.143683072956598,20.0,91.0,100.0,3,1.0,win,"(3,3)",stranger,friend,stranger,"friend
stranger"
QPOI,reptile_komodo,block_02,2024-04-09,505ab3c0-4bfb-f248-a0ff-53be350d22d6,2024-04-09 13:00:27.405583-04:00,2024-04-09 13:10:42.868378-04:00,15.0,,,,1026.123033,720.0,306.123033,657.886332,405.0,252.886332,25.0,20.0,5.0,188.0,175.0,13.0,54.0,48.0,6.0,5.447745248354127,0.3054611936372206,1.6672381195682189,0.087738853491542,14.0,3.0,17.0,3.0,2.0,5.0,0.0,win,1168.0,228.0,214.0,47.0,227.0,41.0,51.0,0.0,0.0,114.0,167.0,54.0,14.0,0.0345581694178116,0.0342245725017297,4.171905154264367,0.4125048625957786,1.50531005859375,3.872068405151367,4.151935577392578,4.466207504272461,5.42767333984375,0.0937006775955404,0.0807592875042975,0.0,0.0347747802734375,0.0770568847656258,0.1351699829101558,1.7834930419921875,0.7869724368260348,1.749550133540087,0.0023616848127954,0.2145226528686507,0.3732786966735335,0.6490335883311431,60.80620355164504,43.227665349638784,55.50662081185651,68.4931563519777,65.22075149618719,9.2483041238132,18.0,95.0,100.0,3,,win,"(3,3)",stranger,friend,stranger,"friend
stranger"
QPOI,reptile_komodo,block_03,2024-04-09,e27612de-4620-d131-fe94-1d8df7bf34e9,2024-04-09 13:15:14.374021-04:00,2024-04-09 13:25:29.235641-04:00,15.0,15.0,3.0,win,1196.055084,855.0,341.055084,402.1514,315.0,87.1514,21.0,20.0,1.0,265.0,254.0,11.0,62.0,57.0,5.0,7.252384920366309,0.430991285486318,1.9452427100588912,0.1008356969817046,12.0,3.0,15.0,2.0,1.0,3.0,0.0,win,1137.0,168.0,193.0,52.0,212.0,33.0,47.0,0.0,0.0,138.0,205.0,54.0,25.0,0.0603082755524517,0.0639247767745797,4.078338374442999,0.4244344446954395,1.6289215087890625,3.7721023559570312,4.076179504394531,4.4010772705078125,5.543014526367188,0.1358019079281613,0.1048929746807229,1.52587890625e-05,0.0652694702148437,0.118896484375,0.1816024780273442,2.211822509765625,0.8030908242766038,1.6268825043074986,0.0007136576757899,0.2171453858487143,0.3880183772729231,0.686299736456509,52.72594008749775,40.431261234108376,52.02497717624901,67.87331664043343,74.67381922966173,9.28316268315683,20.0,100.0,100.0,3,1.0,win,"(3,3)",stranger,friend,stranger,"friend
stranger"
