InstigatedByNames,DamagedActorName,DamagedActorHost
DID,hi_bottom_main_10,DID
PANDA_MAMMAL,spawn_point_4,DID
DID,hi_bottom_main_10,DID
PANDA_MAMMAL,bal_r2_20,DID
DID,spawn_point_4,DID
PANDA_MAMMAL,unreal_holo_33,DID
PANDA_MAMMAL,bal_r2_20,DID
PANDA_MAMMAL,bal_r2_3,DID
PANDA_MAMMAL,bal_r2_3,DID
THYLACINE-MAMMA,wing_wall_1_glass_2,DID
DID,PlayerPawn_C_2147480995,DID
DID,spawn_point_4,DID
DID,spawn_point_1_glass_5,DID
DID,hi_bottom_main_10,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481082,DID
THYLACINE-MAMMA,wing_wall_1_glass_2,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481133,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481082,DID
DID,lvl_Trshcan_01_142,DID
THYLACINE-MAMMA,wing_wall_1_glass_2,DID
THYLACINE-MAMMA,wing_wall_1_glass_2,DID
DID,PlayerPawn_C_2147481224,DID
DID,entrance_wall_2,DID
DID,barier_32,DID
DID,barier_32,DID
DID,PlayerPawn_C_2147481224,DID
DID,PlayerPawn_C_2147481224,DID
DID,stairs_14,DID
DID,entrance_stairs_21,DID
DID,barier_7,DID
DID,barier_7,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480663,DID
THYLACINE-MAMMA,wing_wall_2_glass_2,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480669,DID
DID,PlayerPawn_C_2147481224,DID
DID,PlayerPawn_C_2147481224,DID
DID,PlayerPawn_C_2147481224,DID
DID,entrance_wall_1_glass_2,DID
DID,Pickup_Health_35,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480580,DID
DID,ProjRocket_C_2147480552,DID
THYLACINE-MAMMA,lvl_Trshcan_01_145,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480669,DID
THYLACINE-MAMMA,entrance_wall_2,DID
THYLACINE-MAMMA,entrance_wall_2,DID
THYLACINE-MAMMA,entrance_wall_2,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480580,DID
THYLACINE-MAMMA,barier_32,DID
THYLACINE-MAMMA,entrance_wall_2,DID
THYLACINE-MAMMA,barier_9,DID
THYLACINE-MAMMA,barier_9,DID
THYLACINE-MAMMA,near_entrance_wall_glass_21,DID
THYLACINE-MAMMA,PlayerPawn_C_2147480580,DID
DID,bal_r2_3,DID
