subject_id,game_type,mean_workload,median_workload,cluster_labels
BVCX,block_01,0.8754490992157824,0.9916639626026154,3
BVCX,block_02,0.9120978712572815,0.9829951822757721,3
BVCX,block_03,0.8307730584058037,0.9646816253662109,3
BVCX,block_04,0.9412667147794473,0.9875567257404327,3
BVCX,shooting_baseline,0.45205384035095525,0.4384949207305908,3
CVBN,block_01,0.7285615492100809,0.8395135998725891,1
CVBN,block_02,0.7731501074398265,0.750186562538147,1
CVBN,block_03,,,1
CVBN,block_04,0.9335459894500673,0.9496618211269379,1
CVBN,shooting_baseline,0.40202764642568445,0.3384689688682556,1
DFGH,block_01,0.9869825500388478,0.999359667301178,1
DFGH,block_02,0.9422568303665945,0.9998726844787598,1
DFGH,block_03,0.9949167768160502,0.9999147057533264,1
DFGH,block_04,0.9899654812537707,0.9996037483215332,1
DFGH,shooting_baseline,0.4111155192239569,0.39088934659957886,1
DFZX,block_01,0.7060202182657535,0.7767188549041748,1
DFZX,block_02,0.8524121613988774,0.8805302977561951,1
DFZX,block_03,0.7433982241707735,0.794684499502182,1
DFZX,block_04,0.8048774881787706,0.8701823353767395,1
DFZX,shooting_baseline,0.4100275467577818,0.3426852971315384,1
DKLQ,block_01,0.9986757225653841,0.9999805688858032,1
DKLQ,block_02,0.9040697675135176,0.9793851971626282,1
DKLQ,block_03,0.9602717595585322,0.9841049313545227,1
DKLQ,block_04,0.7431228098937789,0.7799935936927795,1
DKLQ,shooting_baseline,0.44433074878768686,0.4023849666118622,1
EDFR,block_01,0.5177036419561698,0.4634524881839752,2
EDFR,block_02,0.3864993201340084,0.3703407049179077,2
EDFR,block_03,0.5105436664986102,0.4382026493549347,2
EDFR,block_04,0.48171294282420796,0.46433719992637634,2
EDFR,shooting_baseline,0.4296773912096181,0.3807013928890228,2
FTLD,block_01,0.907045638451547,0.9363022446632385,1
FTLD,block_02,0.8766001938003125,0.9288918972015381,1
FTLD,block_03,0.7730735379227242,0.9057185649871826,1
FTLD,block_04,0.8933537222111403,0.9226731061935425,1
FTLD,shooting_baseline,0.4270238761718457,0.40343907475471497,1
GHJK,block_01,0.9817139525643269,0.9980137348175049,2
GHJK,block_02,0.975284265660787,0.9974932372570038,2
GHJK,block_03,0.9236544241365253,0.9803451895713806,2
GHJK,block_04,0.8967266354652551,0.9619389176368713,2
GHJK,shooting_baseline,0.4256834428920489,0.4116409122943878,2
GTYU,block_01,0.999474823474884,0.999474823474884,2
GTYU,block_02,,,2
GTYU,block_03,,,2
GTYU,block_04,,,2
GTYU,shooting_baseline,,,2
HGFD,block_01,0.9797710469187554,0.9937720894813538,1
HGFD,block_02,0.8386743750550061,0.9076910316944122,1
HGFD,block_03,0.8897660210283096,0.9319122433662415,1
HGFD,block_04,0.77924623875057,0.8257532715797424,1
HGFD,shooting_baseline,0.4144853735792226,0.37674984335899353,1
HJKL,block_01,0.590273882567355,0.5537903904914856,3
HJKL,block_02,0.5680696501479885,0.5555261373519897,3
HJKL,block_03,0.5790958025480273,0.5773693323135376,3
HJKL,block_04,0.6376755568766739,0.645025908946991,3
HJKL,shooting_baseline,0.44043170288205147,0.38704851269721985,3
HPLX,block_01,0.538739881324768,0.541132926940918,1
HPLX,block_02,0.5556837763310919,0.5574287474155426,1
HPLX,block_03,0.5015320796367589,0.4797072410583496,1
HPLX,block_04,0.5395807204207754,0.5455474853515625,1
HPLX,shooting_baseline,0.42847174713688513,0.36728011071681976,1
JHGF,block_01,0.9999880220774797,0.9999998807907104,2
JHGF,block_02,0.9999354991097801,0.9999997615814209,2
JHGF,block_03,0.9999888883872682,1.0,2
JHGF,block_04,0.9999979318880509,0.9999998807907104,2
JHGF,shooting_baseline,0.4550504262248675,0.4083174020051956,2
JKLZ,block_01,0.4954442947505819,0.4658942222595215,1
JKLZ,block_02,0.5059040647658188,0.47319820523262024,1
JKLZ,block_03,0.5209421470786685,0.4853610694408417,1
JKLZ,block_04,0.5255034087254451,0.45364582538604736,1
JKLZ,shooting_baseline,0.4442976570050967,0.41233548521995544,1
KJHG,block_01,0.9639316466598471,0.9999384880065918,1
KJHG,block_02,0.9943641883842016,0.9999998807907104,1
KJHG,block_03,0.9997701463447947,0.9999998807907104,1
KJHG,block_04,0.9998766541678712,0.9999961853027344,1
KJHG,shooting_baseline,0.4400822523216538,0.4186004251241684,1
LKJH,block_01,,,1
LKJH,block_02,,,1
LKJH,block_03,,,1
LKJH,block_04,,,1
LKJH,shooting_baseline,,,1
LKMN,block_01,0.7870184686294822,0.8563084006309509,3
LKMN,block_02,0.8323019498905527,0.9094016551971436,3
LKMN,block_03,0.7833941099028917,0.8568140268325806,3
LKMN,block_04,0.940457257515786,0.9911740124225616,3
LKMN,shooting_baseline,0.44705380792064325,0.3991314470767975,3
LKPW,block_01,0.5513381266593933,0.49630191922187805,2
LKPW,block_02,0.5122989680734985,0.4783748984336853,2
LKPW,block_03,0.5160871110969764,0.49978606402873993,2
LKPW,block_04,0.5268746971735481,0.4810396134853363,2
LKPW,shooting_baseline,0.45405340229558666,0.40982285141944885,2
LPDW,block_01,0.5428421542717096,0.46043045818805695,3
LPDW,block_02,0.5420840118847171,0.5188292264938354,3
LPDW,block_03,0.5326652654579708,0.5294789671897888,3
LPDW,block_04,0.5925258609822126,0.6248219013214111,3
LPDW,shooting_baseline,0.4253604717857333,0.3966938555240631,3
LPZV,block_01,0.46649493717672025,0.4358683377504349,1
LPZV,block_02,0.47086579985789473,0.435795396566391,1
LPZV,block_03,0.4844294999827858,0.45873188972473145,1
LPZV,block_04,0.4398710722172702,0.33767901360988617,1
LPZV,shooting_baseline,0.4201447094308919,0.3604067713022232,1
LRTB,block_01,0.8042350307734634,0.8938538432121277,3
LRTB,block_02,0.6085346684104106,0.5865608155727386,3
LRTB,block_03,0.46385466014245064,0.4383489191532135,3
LRTB,block_04,0.46484590583096513,0.45873188972473145,3
LRTB,shooting_baseline,0.4396125186872746,0.42562153935432434,3
MJKL,block_01,0.6420521316225019,0.6318327188491821,1
MJKL,block_02,0.543984166387492,0.4940548241138458,1
MJKL,block_03,0.5806877882707686,0.591484010219574,1
MJKL,block_04,0.48818625702405327,0.44566234946250916,1
MJKL,shooting_baseline,0.4299009387509081,0.38609907031059265,1
MJUY,block_01,0.6832683091125791,0.6899334788322449,2
MJUY,block_02,0.7499453470801676,0.8081188797950745,2
MJUY,block_03,0.690760775201622,0.7078319191932678,2
MJUY,block_04,0.6015044740335209,0.5915430188179016,2
MJUY,shooting_baseline,0.47125957825699366,0.4404672086238861,2
MNBW,block_01,0.6331884190801272,0.5578531622886658,1
MNBW,block_02,0.746293495708598,0.8490710258483887,1
MNBW,block_03,0.6434520355776533,0.6292047202587128,1
MNBW,block_04,0.5603567712008953,0.5000132918357849,1
MNBW,shooting_baseline,0.4789110603306791,0.4900018721818924,1
MNOP,block_01,0.9827511496721348,0.999087929725647,1
MNOP,block_02,0.9544026721554654,0.9978554844856262,1
MNOP,block_03,0.9970080496616733,0.9997233152389526,1
MNOP,block_04,0.988289302435165,0.9989481270313263,1
MNOP,shooting_baseline,0.42419143868610265,0.4005462974309921,1
MTYH,block_01,0.8991078879270289,0.9889564514160156,1
MTYH,block_02,0.9549826232981719,0.9891791343688965,1
MTYH,block_03,0.9469295283479076,0.9827179312705994,1
MTYH,block_04,0.9915968594141304,0.9970940351486206,1
MTYH,shooting_baseline,0.4302453567194783,0.38690783083438873,1
NMBV,block_01,0.9794148623577656,0.9999290704727173,2
NMBV,block_02,0.6441269219858842,0.6213320791721344,2
NMBV,block_03,0.6772497170996443,0.6989231407642365,2
NMBV,block_04,0.7738577366234308,0.8167572021484375,2
NMBV,shooting_baseline,0.43701789029844246,0.41514039039611816,2
OPKJ,block_01,0.6758841374252416,0.7198259234428406,1
