Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,screenshot_kill,screenshot_death,Total_damage_deal,Gun_damage_deal,Rocket_damage_deal,Total_damage_taken,Gun_damage_taken,Rocket_damage_taken,Total_engage,Gun_engage,Rocket_engage,Total_shot_all,Gun_shot_all,Rocket_shot_all,Total_shot_hit,Gun_shot_hit,Rocket_shot_hit,Damager_per_Second_all,Shot_per_Second_all,Damager_per_Second_Hit_only,Shot_per_Second_Hit_only,Gun_kill,Rocket_kill,Total_kill,Death_by_gun,Death_by_rocket,Total_Death,Self_kill,Total_key_pressed,W_key,A_key,S_key,D_key,R_key,Q_key,MouseScrollDown,MouseScrollUp,SpaceBar,LeftMouseButton,RightMouseButton,Tab_key,Percent_of_Null_in_Pupil,Percent_of_Null_in_Gaze,Pupil_Average_mean,Pupil_Average_std,Pupil_Average_min,Pupil_Average_25th,Pupil_Average_50th,Pupil_Average_75th,Pupil_Average_max,Pupil_difference_mean,Pupil_difference_std,Pupil_difference_min,Pupil_difference_25th,Pupil_difference_50th,Pupil_difference_75th,Pupil_difference_max,Gaze_velocity_mean,Gaze_velocity_std,Gaze_velocity_min,Gaze_velocity_25th,Gaze_velocity_50th,Gaze_velocity_75th,Gaze_velocity_max,Heart_rate_min,Heart_rate_mean,Heart_rate_max,Heart_rate_variability,ECG_signal_to_noise
LKPW,mammal_thylacine,block_01,2/21/2024,ab54cf6b-4602-187d-4dbf-308f2571bdbb,2024-02-21 11:04:33.933170-05:00,2024-02-21 11:14:51.559857-05:00,5,15,521.326536,45,476.326536,960,960,0,17,9,8,52,40,12,11,3,8,2.171841992,0.084193253,0.844080327,0.017810111,0,2,2,10,0,10,0,714,136,203,76,112,0,7,25,1,51,43,53,0,0.08365128,0.093046336,5.355621581,0.420068987,1.897918701,5.173892975,5.431625366,5.62594986,6.61151123,0.301331728,0.102240606,0.000442505,0.239074707,0.303787231,0.36605835,2.397018433,0.822233162,1.924358043,0.00056479,0.158202823,0.293987654,0.580772296,39.93118369,60.7287501,71.56612808,83.33333002,28.89058846,5.770538959
LKPW,mammal_thylacine,block_02,2/21/2024,69d133a0-4a25-7ea2-81fb-2883be8d8185,2024-02-21 11:20:37.724183-05:00,2024-02-21 11:30:54.977712-05:00,3,13,231.9098805,30,201.9098805,838.5947804,795,43.5947804,13,5,8,27,18,9,6,2,4,1.075064672,0.043742156,0.375712523,0.009720479,0,1,1,6,0,6,0,825,153,225,86,226,1,0,22,0,43,36,31,0,0.047719556,0.053065064,5.105210383,0.395922719,1.024932861,4.874343872,5.127113342,5.374420166,6.10358429,0.243306112,0.091262245,3.05E-05,0.187080383,0.246963501,0.299591065,1.979644775,0.751536915,1.817576323,0.000397463,0.15124948,0.274203511,0.524928995,47.74267424,58.13953123,69.25495221,81.96722721,34.23818655,5.668922911
LKPW,mammal_thylacine,block_03,2/21/2024,3ff660ba-4d88-cf89-379c-6fa45712769a,2024-02-21 11:34:24.978245-05:00,2024-02-21 11:44:41.321190-05:00,1,15,89.517073,60,29.517073,1010.203544,855,155.203544,11,9,2,53,49,4,5,4,1,1.410033683,0.085991087,0.145239065,0.008112367,0,0,0,1,0,1,0,816,157,238,83,158,1,3,30,0,46,45,53,0,0.074469608,0.076462306,4.972176516,0.403596047,1.240783691,4.749649048,4.989189148,5.233924866,6.006370544,0.245653937,0.091178942,6.10E-05,0.190177918,0.250030518,0.302627564,2.954681396,0.719460383,1.707312817,0.003623961,0.148936895,0.272445553,0.517318396,37.04117175,55.55555948,68.29096272,82.8729308,37.34467347,5.744640446
LKPW,mammal_thylacine,block_04,2/21/2024,87069e81-4953-3251-444b-88a144ec20b5,2024-02-21 11:48:22.906621-05:00,2024-02-21 11:58:38.671666-05:00,6,15,607.5118525,135,472.5118525,1047.019465,885,162.019465,15,9,6,42,31,11,16,9,7,1.844584729,0.068207834,0.986596848,0.025983937,1,4,5,13,0,13,0,649,112,148,50,158,2,0,28,0,46,46,43,7,0.063080386,0.064510834,4.692380106,0.391581578,1.442733765,4.445098877,4.69543457,4.946044922,5.810211182,0.218399757,0.089039743,3.05E-05,0.165969849,0.218933106,0.269874573,2.109558105,0.8373537,4.559256697,0.000290408,0.166734957,0.297404489,0.553564585,810.6752392,55.97014786,68.11453066,81.52175878,40.12479061,5.675135636
LPDW,mammal_panda,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099377924,0.077579559,3.129700819,0.226787861,1.601379395,2.984422684,3.130149841,3.272428513,4.183227539,0.489147767,0.100610785,0.00869751,0.427574158,0.490440369,0.546569824,1.407577515,0.757213162,2.146337872,0.001433723,0.250507701,0.433525956,0.728290809,138.424433,85.22727319,91.7873192,97.40260736,9.003687656,8.972145014
LPDW,mammal_panda,block_01,3/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028721297,0.029247059,3.842078595,0.282307764,1.744598389,3.658975601,3.833686829,4.030441284,4.99269104,0.784741403,0.113014839,0.005783081,0.71975708,0.794494629,0.858108521,1.58430481,0.696727973,1.876132917,0.001306259,0.16912444,0.298584527,0.534500074,99.98043542,83.33330243,93.08740441,102.7398324,10.56633127,8.400752723
LPDW,mammal_panda,block_02,3/26/2024,,,,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027881314,0.028911231,3.820008843,0.298239014,1.420471191,3.617708206,3.827087402,4.025209427,5.013458252,0.796143536,0.116385594,0.021377563,0.723789215,0.806976318,0.87720871,1.585647583,0.747155013,2.035914306,0.001963341,0.199100462,0.347847952,0.601019643,194.8145452,79.36507496,89.64118461,99.3377725,15.37512002,8.558620881
LPDW,mammal_panda,block_03,3/26/2024,,,,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044526104,0.05031462,3.805320952,0.313475805,1.959243774,3.579803467,3.793663025,4.019920349,4.943115234,0.768258639,0.122133611,0.004257202,0.678829193,0.775131226,0.861053467,1.729614258,0.840383674,8.375793236,0.004170761,0.231066733,0.406009719,0.701151545,1560.817903,78.53403769,88.54956108,98.68424272,15.97130161,8.742907202
LPDW,mammal_panda,block_04,3/26/2024,,,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.160938122,0.221448468,3.6603325,0.332059072,1.701599121,3.424362183,3.642684937,3.877624512,5.359146118,0.701874182,0.138933143,0.001953125,0.606582642,0.702911377,0.802978516,2.271026611,0.880126139,1.708606942,0.000733363,0.254039358,0.457055578,0.835424146,67.82909317,76.1421447,88.57873945,100.6711886,19.18613417,9.225207228
LPZV,mammal_thylacine,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129848105,0.129676056,3.313091388,0.245607741,1.691452026,3.15802002,3.306793213,3.471206665,4.64012146,0.13239268,0.067331891,0,0.092178345,0.128494263,0.164733887,1.414886475,0.761219678,3.047545908,0.001756025,0.157934433,0.27323377,0.479974295,340.7560058,48.23151288,83.32580379,119.0476312,224.1680116,7.038796046
LPZV,mammal_thylacine,block_01,3/13/2024,6a0b7489-4997-a37e-d69c-38ab276c14cd,2024-03-13 16:29:52.668457-04:00,2024-03-13 16:40:09.133874-04:00,5,14,400.304953,315,85.304953,1124.165954,465,659.165954,21,18,3,127,122,5,24,21,3,3.129874934,0.206013179,0.649355085,0.038931624,3,0,3,6,4,10,0,1214,202,333,46,265,5,37,0,0,91,146,78,0,0.057686768,0.057998848,4.054154927,0.395059188,1.750656128,3.808570862,4.075698853,4.3204422,5.078155518,0.216985699,0.076511815,1.53E-05,0.177841187,0.224792481,0.26335144,1.588424683,0.736834652,1.834617329,0.002330507,0.187438386,0.324574683,0.549008822,167.7459034,49.34210201,83.80005827,117.1875354,225.2512732,7.529419206
LPZV,mammal_thylacine,block_02,3/13/2024,95b311f5-4446-507a-907e-07b9160fc694,2024-03-13 16:44:37.260606-04:00,2024-03-13 16:54:52.478340-04:00,7,14,662.756894,195,467.756894,1041.44033,615,426.44033,26,13,13,94,73,21,21,13,8,3.41796163,0.152791434,1.07727209,0.034134257,1,4,5,7,4,11,0,1098,187,199,39,279,14,39,0,0,137,133,68,0,0.057681437,0.056280567,4.525000496,0.424235269,1.353225708,4.278539658,4.567985535,4.811325073,5.534591675,0.228628516,0.073199565,0.000473022,0.187408447,0.229003906,0.270126343,1.925094604,0.768284794,1.657186981,0,0.196758427,0.339281055,0.575686613,28.90947325,48.3870964,83.72930872,120.9677294,216.7124448,7.757159654
LPZV,mammal_thylacine,block_03,3/13/2024,15f350b5-46bc-916a-4e48-529cd8813848,2024-03-13 16:58:46.618860-04:00,2024-03-13 17:09:03.914820-04:00,12,16,1252.463315,300,952.463315,1159.869129,615,544.8691292,33,14,19,112,80,32,33,20,13,4.219894822,0.18143647,2.028951097,0.05345896,2,4,6,7,2,9,0,971,181,257,46,153,12,51,0,0,105,133,32,0,0.044874125,0.044704514,4.420501083,0.427084593,1.573898315,4.159484863,4.442947388,4.7137146,5.858093262,0.20424697,0.072843023,0.000198364,0.163696289,0.204620361,0.244125366,2.212890625,0.709045123,1.676883393,0.000919461,0.155229674,0.269867832,0.470024473,57.38187586,50.50504191,84.82896383,119.0476312,207.7409212,7.673718728
LPZV,mammal_thylacine,block_04,3/13/2024,01c80c4d-46c8-45f5-d583-0281844f2f5d,2024-03-13 17:12:52.499283-04:00,2024-03-13 17:23:11.285143-04:00,18,14,1313.655117,690,623.655117,1153.002846,675,478.0028462,31,21,10,182,159,23,56,46,10,5.894646506,0.294124368,2.12295594,0.090499806,9,3,12,5,2,7,0,998,155,210,41,277,15,42,0,1,93,104,59,0,0.034968122,0.034771947,4.38537187,0.359852341,1.965629578,4.161319733,4.406921387,4.622440338,5.671905518,0.215662157,0.067148693,0.000137329,0.17868042,0.218002319,0.252883911,1.9921875,0.719552627,6.253301202,0.002524737,0.164280841,0.283973848,0.494601001,1198.218694,48.3870964,78.6300078,111.111119,128.5271476,7.748748229
LRTB,mammal_thylacine,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051471533,0.055648374,4.00444188,0.29871044,1.855148315,3.797763824,3.984100342,4.192443848,5.042800903,0.31024439,0.091337746,0.002212524,0.255050659,0.308555603,0.362506867,1.558746338,0.721507951,3.415969547,0.00273548,0.178610452,0.313259147,0.565562838,384.5096028,78.12498719,92.49921194,107.1428681,38.85048359,9.49141154
LRTB,mammal_thylacine,block_01,3/6/2024,85a5023a-4976-0721-23b2-028c85a483dd,2024-03-06 13:26:26.617466-05:00,2024-03-06 13:36:42.000566-05:00,8,10,713.599368,690,23.599368,705,705,0,24,22,2,178,172,6,48,46,2,4.489740414,0.289250712,1.159601829,0.078000192,4,0,4,4,0,4,0,1012,194,257,35,222,30,0,17,0,69,117,55,0,0.072042031,0.069115248,4.512203648,0.322266603,1.693847656,4.311677933,4.514694214,4.7062397,5.812820435,0.519038846,0.095947382,0.005340576,0.458927155,0.516357422,0.579036713,1.907196045,0.757561999,1.477280923,0.001677077,0.205630112,0.35260998,0.617284115,22.07144171,80.64514,101.4742651,123.9670115,33.29637684,9.678179875
LRTB,mammal_thylacine,block_02,3/6/2024,32143347-4542-7282-6c5b-b7b56e6a33c5,2024-03-06 13:42:57.110688-05:00,2024-03-06 13:53:13.359943-05:00,10,8,823.045265,270,553.045265,629.111161,360,269.111161,21,12,9,83,67,16,26,18,8,3.469036015,0.134685761,1.335572024,0.04219072,1,2,3,2,1,3,0,944,219,180,47,221,38,0,32,0,52,102,51,0,0.077626595,0.05170953,4.431432218,0.340408019,1.867675781,4.207056046,4.44222641,4.663978577,5.524856567,0.524127697,0.092753294,0.045837402,0.460464478,0.519920349,0.582809448,1.385894775,0.836060988,13.14246061,0.000688772,0.212068679,0.367011222,0.642696015,2494.719481,78.94736941,96.16722593,114.5038322,35.05290064,9.765403737
LRTB,mammal_thylacine,block_03,3/6/2024,dd256e2a-4e9a-fe7f-54b8-66bfb1d5fa7e,2024-03-06 13:57:21.312206-05:00,2024-03-06 14:07:37.711329-05:00,7,18,927.07256,615,312.07256,1189.696704,825,364.696704,31,22,9,151,132,19,48,41,7,4.692553383,0.244971147,1.504013431,0.077871623,2,1,3,9,0,9,0,942,134,215,56,165,38,0,34,0,96,145,59,0,0.080393183,0.061194997,4.35073682,0.343212822,1.740036011,4.139450073,4.37612915,4.586257935,6.013534546,0.468721428,0.095717736,0.027603149,0.41142273,0.46988678,0.528549194,1.813201904,0.723738961,1.372821126,0.002503758,0.209032911,0.36232257,0.628449903,18.4735654,76.92310326,93.35623407,110.2941842,38.19343158,9.750800198
LRTB,mammal_thylacine,block_04,3/6/2024,0f012d24-4034-4c67-7810-53878af71db6,2024-03-06 14:13:40.557008-05:00,2024-03-06 14:23:56.074452-05:00,11,14,1017.84505,480,537.84505,937.479055,660,277.479055,26,18,8,130,114,16,41,32,9,3.977009877,0.211204412,1.653641274,0.066610622,2,2,4,3,0,3,0,873,178,147,27,192,22,0,26,0,107,117,54,0,0.08395365,0.044414669,4.402204129,0.296608836,1.992218018,4.20765686,4.403800964,4.614746094,5.485549927,0.496678493,0.098135955,0.006317139,0.433010101,0.488388062,0.552097321,1.630706787,0.735196979,1.578018988,0.003243794,0.205507042,0.354080209,0.612610454,125.7482612,74.62680849,90.51586871,107.1429137,41.47182931,9.833158239
MJKL,mammal_thylacine,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212346781,0.11088151,4.487937693,0.339181717,1.384124756,4.294021606,4.497665405,4.689926147,5.667411804,0.275401568,0.247983685,1.53E-05,0.110187531,0.217834473,0.342098236,2.398696899,1.034038884,1.984310721,0.004712813,0.278409955,0.537685169,1.124901828,133.412626,78.53401318,87.16501916,95.54143435,16.66506854,6.841861012
MJKL,mammal_thylacine,block_01,4/9/2024,9e78a544-4fad-2033-7311-4f8a28b2f34f,2024-04-09 12:45:55.566185-04:00,2024-04-09 12:56:11.552493-04:00,9,18,857.00324,750,107.00324,1245.258711,885,360.2587106,32,27,5,270,261,9,54,50,4,6.792269002,0.438321431,1.39126995,0.087664286,9,0,9,14,4,18,0,1250,179,314,23,227,23,0,49,58,137,119,57,27,0.067058738,0.057892957,5.207083917,0.363193538,1.096664429,5.00113678,5.248691559,5.458187103,6.11505127,0.299558283,0.107371257,9.16E-05,0.239463806,0.30809021,0.366821289,2.224975586,0.820457497,16.11104608,0.001780384,0.20092712,0.353140706,0.632857598,3139.703622,70.09346232,89.81472903,111.9403455,29.70369336,7.312774044
MJKL,mammal_thylacine,block_02,4/9/2024,505ab3c0-4bfb-f248-a0ff-53be350d22d6,2024-04-09 13:00:27.405583-04:00,2024-04-09 13:10:42.868378-04:00,,,883.782105,720,163.782105,1312.776225,1200,112.776225,28,26,2,269,265,4,51,48,3,6.724746078,0.437069474,1.435963493,0.082864473,8,1,9,19,2,21,0,1225,185,230,21,292,21,0,39,44,96,169,74,37,0.111246263,0.096113803,4.901150511,0.540801789,1.957733154,4.734481812,5.025066376,5.250991821,5.888656616,0.2403487,0.115749805,4.58E-05,0.161991119,0.25151062,0.316238403,2.33392334,0.722829427,1.954349004,0.000979269,0.192965559,0.33591883,0.602272288,205.7148278,67.5675667,85.58620477,106.3829992,28.09145272,7.226229418
