Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,screenshot_kill,screenshot_death,Total_kill,Total_Death,Self_kill,Different,
HJKL,mammal_thylacine,block_02,1/31/2024,ff9c203a-415a-f596-d37a-289a55618e1a,2024-01-31 15:20:54.914018-05:00,2024-01-31 15:31:10.212231-05:00,,,2,12,0,,
ZYXW,mammal_panda,block_02,1/31/2024,ff9c203a-415a-f596-d37a-289a55618e1a,2024-01-31 15:20:54.914018-05:00,2024-01-31 15:31:10.212231-05:00,,,2,8,0,,
FTLD,reptile_gila,block_03,1/31/2024,da70cd6f-44d0-f518-f635-5fa866148670,2024-01-31 15:35:51.706503-05:00,2024-01-31 15:46:07.790447-05:00,13,11,10,9,0,79%,
GTYU,reptile_komodo,block_03,1/31/2024,da70cd6f-44d0-f518-f635-5fa866148670,2024-01-31 15:35:51.706503-05:00,2024-01-31 15:46:07.790447-05:00,14,,5,1,0,43%,
HJKL,mammal_thylacine,block_03,1/31/2024,da70cd6f-44d0-f518-f635-5fa866148670,2024-01-31 15:35:51.706503-05:00,2024-01-31 15:46:07.790447-05:00,,,6,11,0,#DIV/0!,
ZYXW,mammal_panda,block_03,1/31/2024,da70cd6f-44d0-f518-f635-5fa866148670,2024-01-31 15:35:51.706503-05:00,2024-01-31 15:46:07.790447-05:00,,,4,4,0,#DIV/0!,
FTLD,reptile_gila,block_04,1/31/2024,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,2024-01-31 15:49:42.651635-05:00,2024-01-31 16:00:01.232420-05:00,12,,10,8,0,150%,
GTYU,reptile_komodo,block_04,1/31/2024,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,2024-01-31 15:49:42.651635-05:00,2024-01-31 16:00:01.232420-05:00,,,8,4,0,#DIV/0!,
HJKL,mammal_thylacine,block_04,1/31/2024,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,2024-01-31 15:49:42.651635-05:00,2024-01-31 16:00:01.232420-05:00,,,3,8,0,#DIV/0!,
ZYXW,mammal_panda,block_04,1/31/2024,f8e91c5d-40a0-bbcd-4b3f-869dc7f8073a,2024-01-31 15:49:42.651635-05:00,2024-01-31 16:00:01.232420-05:00,,,9,10,0,#DIV/0!,
LKPW,mammal_thylacine,block_01,2/21/2024,ab54cf6b-4602-187d-4dbf-308f2571bdbb,2024-02-21 11:04:33.933170-05:00,2024-02-21 11:14:51.559857-05:00,5,15,2,10,0,75%,
MTYH,reptile_gila,block_01,2/21/2024,ab54cf6b-4602-187d-4dbf-308f2571bdbb,2024-02-21 11:04:33.933170-05:00,2024-02-21 11:14:51.559857-05:00,17,7,12,4,0,,
VNPL,reptile_komodo,block_01,2/21/2024,ab54cf6b-4602-187d-4dbf-308f2571bdbb,2024-02-21 11:04:33.933170-05:00,2024-02-21 11:14:51.559857-05:00,7,7,7,6,0,,
XZPT,mammal_panda,block_01,2/21/2024,ab54cf6b-4602-187d-4dbf-308f2571bdbb,2024-02-21 11:04:33.933170-05:00,2024-02-21 11:14:51.559857-05:00,9,10,8,9,0,,
LKPW,mammal_thylacine,block_02,2/21/2024,69d133a0-4a25-7ea2-81fb-2883be8d8185,2024-02-21 11:20:37.724183-05:00,2024-02-21 11:30:54.977712-05:00,3,13,1,6,0,38%,
MTYH,reptile_gila,block_02,2/21/2024,69d133a0-4a25-7ea2-81fb-2883be8d8185,2024-02-21 11:20:37.724183-05:00,2024-02-21 11:30:54.977712-05:00,19,2,9,0,0,,
VNPL,reptile_komodo,block_02,2/21/2024,69d133a0-4a25-7ea2-81fb-2883be8d8185,2024-02-21 11:20:37.724183-05:00,2024-02-21 11:30:54.977712-05:00,11,5,3,2,0,,
XZPT,mammal_panda,block_02,2/21/2024,69d133a0-4a25-7ea2-81fb-2883be8d8185,2024-02-21 11:20:37.724183-05:00,2024-02-21 11:30:54.977712-05:00,4,17,1,6,0,,
LKPW,mammal_thylacine,block_03,2/21/2024,3ff660ba-4d88-cf89-379c-6fa45712769a,2024-02-21 11:34:24.978245-05:00,2024-02-21 11:44:41.321190-05:00,1,15,0,1,0,15%,
MTYH,reptile_gila,block_03,2/21/2024,3ff660ba-4d88-cf89-379c-6fa45712769a,2024-02-21 11:34:24.978245-05:00,2024-02-21 11:44:41.321190-05:00,19,5,5,0,0,,
VNPL,reptile_komodo,block_03,2/21/2024,3ff660ba-4d88-cf89-379c-6fa45712769a,2024-02-21 11:34:24.978245-05:00,2024-02-21 11:44:41.321190-05:00,11,5,1,0,0,,
XZPT,mammal_panda,block_03,2/21/2024,3ff660ba-4d88-cf89-379c-6fa45712769a,2024-02-21 11:34:24.978245-05:00,2024-02-21 11:44:41.321190-05:00,8,15,0,5,0,,
LKPW,mammal_thylacine,block_04,2/21/2024,87069e81-4953-3251-444b-88a144ec20b5,2024-02-21 11:48:22.906621-05:00,2024-02-21 11:58:38.671666-05:00,6,15,5,13,0,74%,
MTYH,reptile_gila,block_04,2/21/2024,87069e81-4953-3251-444b-88a144ec20b5,2024-02-21 11:48:22.906621-05:00,2024-02-21 11:58:38.671666-05:00,23,9,19,6,0,,
VNPL,reptile_komodo,block_04,2/21/2024,87069e81-4953-3251-444b-88a144ec20b5,2024-02-21 11:48:22.906621-05:00,2024-02-21 11:58:38.671666-05:00,8,14,5,10,0,,
XZPT,mammal_panda,block_04,2/21/2024,87069e81-4953-3251-444b-88a144ec20b5,2024-02-21 11:48:22.906621-05:00,2024-02-21 11:58:38.671666-05:00,17,16,11,11,0,,
PKJH,reptile_gila,block_01,2/29/2024,c5bb93cd-4cce-11d8-6d58-2e9e469acb71,2024-02-29 13:58:29.569453-05:00,2024-02-29 14:09:14.265674-05:00,18,12,1,2,0,6%,
QXZW,mammal_thylacine,block_01,2/29/2024,c5bb93cd-4cce-11d8-6d58-2e9e469acb71,2024-02-29 13:58:29.569453-05:00,2024-02-29 14:09:14.265674-05:00,14,12,1,0,0,,
WERT,reptile_komodo,block_01,2/29/2024,c5bb93cd-4cce-11d8-6d58-2e9e469acb71,2024-02-29 13:58:29.569453-05:00,2024-02-29 14:09:14.265674-05:00,6,11,0,0,0,,
ZXCV,mammal_panda,block_01,2/29/2024,c5bb93cd-4cce-11d8-6d58-2e9e469acb71,2024-02-29 13:58:29.569453-05:00,2024-02-29 14:09:14.265674-05:00,9,13,1,1,0,,
PKJH,reptile_gila,block_02,2/29/2024,719e2eb0-4197-b167-41f9-8db24f75b605,2024-02-29 14:15:19.896452-05:00,2024-02-29 14:25:38.599553-05:00,19,11,3,5,0,29%,
QXZW,mammal_thylacine,block_02,2/29/2024,719e2eb0-4197-b167-41f9-8db24f75b605,2024-02-29 14:15:19.896452-05:00,2024-02-29 14:25:38.599553-05:00,19,7,8,1,0,,
WERT,reptile_komodo,block_02,2/29/2024,719e2eb0-4197-b167-41f9-8db24f75b605,2024-02-29 14:15:19.896452-05:00,2024-02-29 14:25:38.599553-05:00,3,16,1,5,0,,
ZXCV,mammal_panda,block_02,2/29/2024,719e2eb0-4197-b167-41f9-8db24f75b605,2024-02-29 14:15:19.896452-05:00,2024-02-29 14:25:38.599553-05:00,8,15,2,3,0,,
PKJH,reptile_gila,block_03,2/29/2024,f85b8323-4ca7-ee3c-bb78-94b36cadb805,2024-02-29 14:30:09.862440-05:00,2024-02-29 14:40:26.996906-05:00,24,8,6,2,0,26%,
QXZW,mammal_thylacine,block_03,2/29/2024,f85b8323-4ca7-ee3c-bb78-94b36cadb805,2024-02-29 14:30:09.862440-05:00,2024-02-29 14:40:26.996906-05:00,7,13,2,3,1,,
WERT,reptile_komodo,block_03,2/29/2024,f85b8323-4ca7-ee3c-bb78-94b36cadb805,2024-02-29 14:30:09.862440-05:00,2024-02-29 14:40:26.996906-05:00,4,8,1,2,0,,
ZXCV,mammal_panda,block_03,2/29/2024,f85b8323-4ca7-ee3c-bb78-94b36cadb805,2024-02-29 14:30:09.862440-05:00,2024-02-29 14:40:26.996906-05:00,8,16,2,4,0,,
PKJH,reptile_gila,block_04,2/29/2024,0538e108-4c09-5ff7-ab2b-959e4a36ad6b,2024-02-29 14:44:56.836748-05:00,2024-02-29 14:55:13.438114-05:00,15,11,2,3,0,15%,
