subject_id,game_type,mean_workload,median_workload,cluster_labels
AXSW,cognitive_baseline,0.3949812080283634,0.33527159690856934,1
AXSW,enumeration,0.43366117408310156,0.43164415657520294,1
AXSW,task_switching,0.39107507298007216,0.391878217458725,1
AXSW,working_memory,0.3714598821311459,0.3667522966861725,1
BHGY,cognitive_baseline,0.4522644530406734,0.4062754958868027,3
BHGY,enumeration,0.6253061632183303,0.6303662061691284,3
BHGY,task_switching,0.5964606856021776,0.581127405166626,3
BHGY,working_memory,0.5438742009776362,0.5049010217189789,3
BVCX,cognitive_baseline,0.4694930486577122,0.43786515295505524,3
BVCX,enumeration,0.5465647437175115,0.43474210798740387,3
BVCX,task_switching,0.8335974162329218,0.9393420219421387,3
BVCX,working_memory,0.5302865301625961,0.41298210620880127,3
CVBN,cognitive_baseline,0.4349386973125879,0.3831512928009033,1
CVBN,enumeration,0.4319902164561133,0.4221407026052475,1
CVBN,task_switching,0.5314042680390434,0.45191408693790436,1
CVBN,working_memory,0.47584057010190434,0.47726544737815857,1
DFGH,cognitive_baseline,0.4063363873873741,0.37075573205947876,1
DFGH,enumeration,0.46209591789679094,0.41341349482536316,1
DFGH,task_switching,0.44617092488992094,0.44368529319763184,1
DFGH,working_memory,0.43785016735394794,0.4301897883415222,1
DFZX,cognitive_baseline,0.40829216109381783,0.35586507618427277,1
DFZX,enumeration,0.46531502820857584,0.4248194992542267,1
DFZX,task_switching,0.5702992834573622,0.5584529042243958,1
DFZX,working_memory,0.5030427822121629,0.4834088981151581,1
DKLQ,cognitive_baseline,0.42383770002137633,0.39088936150074005,1
DKLQ,enumeration,0.7720472715654463,0.897693932056427,1
DKLQ,task_switching,0.7193403513543609,0.7877797484397888,1
DKLQ,working_memory,0.5867658617101676,0.5736947059631348,1
EDFR,cognitive_baseline,0.42364445516279525,0.392740860581398,2
EDFR,enumeration,0.8379593957158932,0.8459657430648804,2
EDFR,task_switching,0.4515615782288254,0.430262491106987,2
EDFR,working_memory,0.8379021961763116,0.8574945032596588,2
FDSA,cognitive_baseline,0.43036028979028146,0.3892192840576172,1
FDSA,enumeration,0.4645952735035146,0.4454426169395447,1
FDSA,task_switching,0.7656056951783913,0.7615590393543243,1
FDSA,working_memory,0.6632268563608127,0.6896092891693115,1
FDXC,cognitive_baseline,0.45220490623328646,0.4365975856781006,2
FDXC,enumeration,0.8014000472022977,0.8360635936260223,2
FDXC,task_switching,0.959939142410193,0.9756875038146973,2
FDXC,working_memory,0.9238701860471206,0.9670080840587616,2
FGHZ,cognitive_baseline,0.43263477899811487,0.42917270958423615,2
FGHZ,enumeration,0.5301285485683945,0.5353107750415802,2
FGHZ,task_switching,0.6765042564740948,0.7531319856643677,2
FGHZ,working_memory,0.5601550192914457,0.5672081112861633,2
FTLD,cognitive_baseline,0.3828374443431495,0.3395985960960388,1
FTLD,enumeration,0.5570432781685926,0.45158651471138,1
FTLD,task_switching,0.4222526519882436,0.3230401575565338,1
FTLD,working_memory,0.3926026692235373,0.33718547224998474,1
FTYP,cognitive_baseline,0.44693144494763004,0.39982059597969055,3
FTYP,enumeration,0.6815808948874473,0.7145078182220459,3
FTYP,task_switching,0.612543718646898,0.5073460936546326,3
FTYP,working_memory,0.47503256423170986,0.43381649255752563,3
FYDR,cognitive_baseline,0.43639437230052175,0.4130709618330002,1
FYDR,enumeration,0.601037827104029,0.6354288160800934,1
FYDR,task_switching,0.5164700959728898,0.4607416242361069,1
FYDR,working_memory,0.5800355504150787,0.562105655670166,1
GHFJ,cognitive_baseline,0.44264989147091854,0.3699950575828552,2
GHFJ,enumeration,0.8971838193985926,0.980751633644104,2
GHFJ,task_switching,0.9567707364804277,0.9667003750801086,2
GHFJ,working_memory,0.5783210798615107,0.4910954236984253,2
GHJK,cognitive_baseline,0.4351589905305041,0.3827309012413025,2
GHJK,enumeration,0.8043997204829182,0.8439007997512817,2
GHJK,task_switching,0.9747437576528724,0.9983007609844208,2
GHJK,working_memory,0.7537216759215559,0.7927823662757874,2
GTYU,cognitive_baseline,0.44511951989814885,0.42927253246307373,2
GTYU,enumeration,0.7376416971783839,0.7477357983589172,2
GTYU,task_switching,0.7203640584247041,0.7875502705574036,2
GTYU,working_memory,0.6560716552836863,0.6519478857517242,2
HGFD,cognitive_baseline,0.4311743647485346,0.39932265877723694,1
HGFD,enumeration,0.48877841113270193,0.44244134426116943,1
HGFD,task_switching,0.7462655585289002,0.8635781407356262,1
HGFD,working_memory,0.5977020839998933,0.5452533960342407,1
HJKL,cognitive_baseline,0.46490416476149965,0.4599817842245102,3
HJKL,enumeration,0.6468041855041112,0.6540532112121582,3
HJKL,task_switching,0.7495290948932333,0.8027423620223999,3
HJKL,working_memory,0.6406772829732805,0.6232245564460754,3
HPLX,cognitive_baseline,0.4629335722962364,0.4376189708709717,1
HPLX,enumeration,0.4663256652941361,0.46337853372097015,1
HPLX,task_switching,0.5218622377460871,0.5126082897186279,1
HPLX,working_memory,0.5048910940510168,0.5013428330421448,1
JFDE,cognitive_baseline,0.34203209192580597,0.3448939621448517,1
JFDE,enumeration,0.3133027417694821,0.30577506124973297,1
JFDE,task_switching,0.3265107330389139,0.3243441730737686,1
JFDE,working_memory,0.3200975062532557,0.3207157999277115,1
JHGF,cognitive_baseline,0.4702124642375809,0.4310622811317444,2
JHGF,enumeration,0.787902405520655,0.8228906691074371,2
JHGF,task_switching,0.8901006288978518,0.9049660563468933,2
JHGF,working_memory,0.7436220529173344,0.7607176601886749,2
JKLM,cognitive_baseline,0.42481708270247265,0.3767244517803192,1
JKLM,enumeration,0.42095048649744554,0.3835722506046295,1
JKLM,task_switching,0.3942569838410117,0.38546669483184814,1
JKLM,working_memory,0.3495496910178774,0.3297520875930786,1
JKLZ,cognitive_baseline,0.4167885965974637,0.3863102197647095,1
JKLZ,enumeration,0.5782868898860597,0.5587453842163086,1
JKLZ,task_switching,0.5309049089408862,0.5220854878425598,1
JKLZ,working_memory,0.5303019331633181,0.5364170074462891,1
JKZX,cognitive_baseline,0.4047122124497217,0.3447714298963547,2
JKZX,enumeration,0.7108766639698817,0.7715211510658264,2
JKZX,task_switching,0.7999918005884962,0.8785124123096466,2
JKZX,working_memory,0.7489575163037299,0.8626053333282471,2
KJHG,cognitive_baseline,0.27909977546958037,0.2738197445869446,1
KJHG,enumeration,0.2827952453833923,0.2652091085910797,1
KJHG,task_switching,0.27440299093723297,0.2687637209892273,1
KJHG,working_memory,0.28119280768381194,0.2720433920621872,1
LKJH,cognitive_baseline,0.43986948498657774,0.4105587303638458,1
LKJH,enumeration,0.5318996717256529,0.5248224437236786,1
LKJH,task_switching,0.4902149201534791,0.5121637582778931,1
LKJH,working_memory,0.5075662807830352,0.4874086081981659,1
LKMN,cognitive_baseline,0.44782837456942437,0.4316272437572479,3
LKMN,enumeration,0.5812799183795085,0.5890543162822723,3
LKMN,task_switching,0.6103357511087203,0.6272858083248138,3
LKMN,working_memory,0.5428679044219269,0.5016299784183502,3
LKPW,cognitive_baseline,0.4123460170124814,0.36215049028396606,2
LKPW,enumeration,0.7123611387486259,0.7454818785190582,2
LKPW,task_switching,0.8315445968822167,0.9043522477149963,2
LKPW,working_memory,0.9032161558755576,0.959202766418457,2
LPDW,cognitive_baseline,0.4358267736184847,0.410324826836586,3
LPDW,enumeration,0.6404096410268215,0.6801649928092957,3
LPDW,task_switching,0.4954017046951432,0.4687652289867401,3
LPDW,working_memory,0.6751290566574496,0.7076793611049652,3
LPZV,cognitive_baseline,0.46142771182251613,0.42467445135116577,1
LPZV,enumeration,0.3828903958368837,0.3477584421634674,1
LPZV,task_switching,0.47051610306222386,0.44872795045375824,1
LPZV,working_memory,0.4264638900980633,0.4053884744644165,1
LRTB,cognitive_baseline,0.4402850426592917,0.40053239464759827,3
LRTB,enumeration,0.37258399768262845,0.35665298998355865,3
LRTB,task_switching,0.7039477526709653,0.7926670014858246,3
LRTB,working_memory,0.3778195927867241,0.3356623351573944,3
MJKL,cognitive_baseline,0.39660739929725725,0.35177455842494965,1
MJKL,enumeration,0.5689314220831773,0.4845941960811615,1
MJKL,task_switching,0.4362334361682436,0.3937881290912628,1
MJKL,working_memory,0.5317739154183373,0.49054020643234253,1
MJUY,cognitive_baseline,0.4288414630115542,0.3944251239299774,2
MJUY,enumeration,0.6803193765409877,0.6973681747913361,2
MJUY,task_switching,0.8388064537818233,0.9358094334602356,2
MJUY,working_memory,0.6503747704061302,0.6825420558452606,2
MNBW,cognitive_baseline,0.4296499816798167,0.4061664342880249,1
MNBW,enumeration,0.5974879661486262,0.6200382709503174,1
MNBW,task_switching,0.6424934877431951,0.6711445748806,1
MNBW,working_memory,0.7184381246138988,0.80393186211586,1
MNOP,cognitive_baseline,0.4258434140766171,0.3891258239746094,1
MNOP,enumeration,0.5597166708000353,0.5008367896080017,1
MNOP,task_switching,0.5064811282924243,0.46573884785175323,1
MNOP,working_memory,0.9450512322396288,0.9964904189109802,1
MTYH,cognitive_baseline,0.3619188589032225,0.3486333191394806,1
MTYH,enumeration,0.5491626929077837,0.534646600484848,1
MTYH,task_switching,0.35385988058639917,0.3194500803947449,1
MTYH,working_memory,0.4031613541073539,0.38379278779029846,1
MYTZ,cognitive_baseline,0.4105119558647521,0.3560766577720642,2
MYTZ,enumeration,0.6290657001794601,0.6660318970680237,2
MYTZ,task_switching,0.6372356710409878,0.6556791067123413,2
MYTZ,working_memory,0.6582995028807077,0.6925212144851685,2
NBVC,cognitive_baseline,0.314725978291912,0.32240286469459534,2
NBVC,enumeration,0.30071790516376495,0.2860124856233597,2
NBVC,task_switching,0.3097618654922203,0.2758212983608246,2
NBVC,working_memory,0.3000780754014403,0.27550339698791504,2
NHZA,cognitive_baseline,0.4318295107693622,0.3931509256362915,2
NHZA,enumeration,0.7017729781685075,0.7376386821269989,2
NHZA,task_switching,0.6390949977982429,0.6402590870857239,2
NHZA,working_memory,0.6689781235789762,0.690116822719574,2
NMBV,cognitive_baseline,0.42735039483767884,0.40071773529052734,2
NMBV,enumeration,0.5914571348507449,0.48533524572849274,2
